Date,Category,Author,Url,Title,Findings
6/26/2020,Risk of SARS-CoV2 In Pregnancy,Ellington et al.,https://www.cdc.gov/mmwr/volumes/69/wr/mm6925a1.htm?s_cid=mm6925a1_w,"Characteristics of Women of Reproductive Age with Laboratory-Confirmed SARS-CoV-2 Infection by Pregnancy Status — United States, January 22–June 7, 2020","Pregnant women might be at an increased risk for severe COVID-19 illness; Among reproductive-age women with SARS-CoV-2 infection, pregnancy was associated with hospitalization and increased risk for intensive care unit admission, and receipt of mechanical ventilation, but not with death."
9/1/2020,Risk of SARS-CoV2 In Pregnancy,Allotey et al.,https://www.bmj.com/content/370/bmj.m3320,"Clinical manifestations, risk factors, and maternal and perinatal outcomes of coronavirus disease 2019 in pregnancy: living systematic review and meta-analysis","Pregnant and recently pregnant women with covid-19 diagnosed in hospital are less likely to manifest symptoms of fever and myalgia than non-pregnant women of reproductive age and might be at increased risk of admission to an intensive care unit; Risk factors for severe covid-19 in pregnancy include increasing maternal age, high body mass index, and pre-existing comorbidities; Pregnant women with covid-19 are more likely to experience preterm birth and their neonates are more likely to be admitted to a neonatal unit."
11/6/2020,Risk of SARS-CoV2 In Pregnancy,Woodworth et al.,https://www.cdc.gov/mmwr/volumes/69/wr/mm6944e2.htm?s_cid=mm6944e2_w,"Birth and Infant Outcomes Following Laboratory-Confirmed SARS-CoV-2 Infection in Pregnancy — SET-NET, 16 Jurisdictions, March 29–October 14, 2020","Among 3,912 infants with known gestational age born to women with SARS-CoV-2 infection, 12.9% were preterm (<37 weeks), higher than a national estimate of 10.2%. Among 610 (21.3%) infants with testing results, 2.6% had positive SARS-CoV-2 results, primarily those born to women with infection at delivery."
11/6/2020,Risk of SARS-CoV2 In Pregnancy,Zambrano et al.,https://www.cdc.gov/mmwr/volumes/69/wr/mm6944e3.htm,"Update: Characteristics of Symptomatic Women of Reproductive Age with Laboratory-Confirmed SARS-CoV-2 Infection by Pregnancy Status — United States, January 22–October 3, 2020","Risk of severe COVID-19-associated illness including death; among 400,000 women aged 15-44 with symptomatic COVID-19, intensive care unit admission, invasive ventilation, extracorporeal membrane oxygenation, and death were more likely in pregnant women than in nonpregnant women."
12/17/2020,Vaccine Safety / Effectiveness / Newborn Outcomes,Moderna,https://www.fda.gov/media/144434/download,"Vaccines and Related Biological Products Advisory Committee Meeting
December 17, 2020 FDA Briefing Document Moderna COVID-19 Vaccine","No effects on female reproduction, fetal/embryonal development, or postnatal development."
12/21/2020,Vaccine Safety / Effectiveness / Newborn Outcomes,Pfizer,https://ec.europa.eu/health/documents/community-register/2020/20201221150522/anx_150522_en.pdf,Annex I - Summary of Product Characteristics,"No vaccine-related effects on female fertility, pregnancy, or embryo-fetal or postnatal development."
1/8/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE_recommendation-BNT162b2-2021.1,"Interim recommendations for use of the Pfizer–BioNTech COVID-19 vaccine, BNT162b2, under Emergency Use Listing",Pfizer recommended (1) for lactating persons and not recommended but with exceptions (elevated risk of exposure & serious disease) (4) for pregnant persons.
1/8/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/news-room/feature-stories/detail/who-can-take-the-pfizer-biontech-covid-19--vaccine,Who can take the Pfizer BioNTech COVID-19 vaccine?,Pfizer permitted (2) for lactating persons and not recommended but with exceptions (elevated risk of exposure) (4) for pregnant persons.
1/21/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,AstraZeneca,https://www.ema.europa.eu/en/documents/assessment-report/vaxzevria-previously-covid-19-vaccine-astrazeneca-epar-public-assessment-report_en.pdf,Assessment report COVID-19 Vaccine AstraZeneca,Preliminary DART show no adverse effects in reproductive toxicity.
1/25/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/interim-recommendations-for-use-of-the-moderna-mrna-1273-vaccine-against-covid-19,Interim recommendations for use of the Moderna mRNA-1273 vaccine against COVID-19,Moderna recommended (1) for lactating persons and not recommended but with exceptions (elevated risk of exposure & serious disease) (4) for pregnant persons.
